date,us_10y_yield,us_dollar_index,fed_reserve_balances,vix_fear_index,yield_spread_10y_2y,consumer_sentiment,initial_claims,building_permits,high_yield_spread,fed_balance_sheet,industrial_production,cpi_inflation,ppi_inflation,m2_money_supply,retail_sales
2022-01-01,1.52,115.283,1920789.0,17.22,0.79,67.2,229000.0,1923.0,,8757460.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-03,1.63,115.4101,1920789.0,16.6,0.85,67.2,229000.0,1923.0,,8757460.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-04,1.66,115.3103,1920789.0,16.91,0.89,67.2,229000.0,1923.0,,8757460.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-05,1.71,115.137,1795618.0,19.73,0.88,67.2,229000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-06,1.73,115.4046,1795618.0,19.61,0.85,67.2,229000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-07,1.76,115.0451,1795618.0,18.76,0.89,67.2,229000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-08,1.76,115.0451,1795618.0,18.76,0.89,67.2,250000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-10,1.78,115.2216,1795618.0,19.4,0.86,67.2,250000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-11,1.75,114.8332,1795618.0,18.41,0.85,67.2,250000.0,1923.0,,8765721.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-12,1.74,114.355,1862045.0,17.62,0.82,67.2,250000.0,1923.0,,8788278.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-13,1.7,114.177,1862045.0,20.31,0.79,67.2,250000.0,1923.0,,8788278.0,100.1856,282.543,246.453,21650.0,275549.0
2022-01-14,1.78,114.3825,1862045.0,19.19,0.79,67.2,250000.0,1923.0,,8788278.0,100.1856,282.543,246.453,21650.0,275549.0
